Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,PerformanceIndex,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyAchievement,NumCompaniesWorked,Over18,OverTime,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HowToEmploy,Incentive,RemoteWork,MonthlyIncome,StressRating,WelfareBenefits,InHouseFacility,ExternalFacility,ExtendedLeave,FlexibleWork,StressSelfReported,Year
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,19479,8,Y,16,1,1,40,0,8,0,1,6,4,0,5,agent_B,0,1,5224,4,1,0,0,0,0,1,2023
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,24907,1,Y,7,4,4,40,1,10,3,3,10,7,1,7,intern,3431,3,6863,2,4,1,0,0,1,1,2023
37,Yes,Travel_Rarely,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2396,6,Y,32,3,2,40,0,7,3,3,0,0,0,0,intern,0,2,7612,3,2,1,0,0,0,1,2023
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,23159,1,Y,28,1,3,40,0,8,3,3,8,7,3,0,intern,0,2,11245,1,4,1,1,1,1,1,2023
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,16632,9,Y,10,2,4,40,1,6,3,3,2,2,2,2,agent_C,0,2,3029,3,2,0,0,0,0,3,2023
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,11864,0,Y,14,2,3,40,0,8,2,2,7,7,3,6,agent_A,0,3,9313,3,2,0,0,0,0,3,2023
59,No,Travel_Rarely,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,9964,4,Y,0,4,1,40,3,12,3,2,1,0,0,0,intern,0,2,5562,3,1,0,0,0,1,3,2023
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,13335,1,Y,0,4,2,40,1,1,2,3,1,0,0,0,direct_recruiting,3681,4,7362,2,2,0,0,0,1,1,2023
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,8787,0,Y,24,4,2,40,0,10,2,3,9,7,1,8,intern,2521,4,6266,1,3,1,1,0,1,1,2023
36,No,Travel_Rarely,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,16577,6,Y,5,2,2,40,2,17,3,2,7,7,7,7,intern,0,5,8258,3,3,1,1,0,1,3,2023
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,16479,0,Y,32,2,3,40,1,6,5,3,5,4,0,3,intern,2496,3,8320,3,2,0,0,0,1,2,2023
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,12682,0,Y,4,2,4,40,0,10,3,3,9,5,0,8,agent_B,0,3,5449,2,3,1,0,0,1,2,2023
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,15170,1,Y,43,2,4,40,1,5,1,2,5,2,4,3,agent_B,3325,4,11086,3,2,0,0,0,0,1,2023
34,No,Travel_Rarely,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,8758,0,Y,20,1,3,40,1,3,2,3,2,2,1,2,agent_A,0,3,7020,2,3,1,1,0,1,1,2024
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,12947,5,Y,23,3,2,40,0,6,4,3,4,2,0,3,intern,0,0,6743,2,2,1,0,0,1,1,2023
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,10195,1,Y,16,1,3,40,1,10,1,3,10,9,8,8,agent_A,0,2,6608,3,1,0,0,0,0,2,2024
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,15053,0,Y,11,1,4,40,2,7,5,2,6,2,0,5,agent_B,0,1,6949,3,1,0,0,0,0,2,2024
22,No,Non-Travel,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,7324,1,Y,31,2,2,40,2,1,2,2,1,0,0,0,direct_recruiting,1583,4,5741,2,3,1,1,0,1,2,2023
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,22021,2,Y,7,3,3,40,0,31,3,3,25,8,3,7,intern,2596,2,5467,3,3,1,0,1,1,3,2023
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,4306,5,Y,16,1,3,40,0,6,3,3,3,2,1,2,intern,0,2,7308,2,1,0,0,0,0,3,2023
24,No,Non-Travel,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,8232,0,Y,28,3,4,40,1,5,5,2,4,2,1,3,intern,1530,3,6702,2,1,0,0,0,0,3,2023
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,6986,7,Y,3,4,2,40,0,10,4,3,5,3,0,3,agent_B,0,4,8555,1,4,1,1,1,1,2,2023
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,21293,0,Y,8,1,3,40,0,13,4,3,12,6,2,11,agent_C,0,1,9185,4,3,1,0,0,1,2,2023
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,19281,1,Y,5,3,4,40,0,0,6,3,0,0,0,0,intern,4651,5,9793,2,3,1,1,0,1,2,2023
34,No,Travel_Rarely,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,17102,2,Y,34,1,3,40,0,8,2,3,4,2,1,3,agent_B,0,0,6505,1,4,1,1,1,1,1,2023
53,No,Travel_Rarely,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,10735,4,Y,15,1,4,40,1,26,3,2,14,13,4,8,intern,0,2,4083,3,1,0,0,0,0,2,2023
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,4681,1,Y,3,4,2,40,0,10,5,3,10,2,6,7,intern,0,3,6014,2,2,0,0,0,0,3,2024
42,No,Travel_Rarely,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,21173,0,Y,3,1,4,40,1,10,2,3,9,7,4,2,intern,0,2,8599,1,4,1,1,1,1,1,2023
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,2094,3,Y,22,3,4,40,1,24,4,3,22,6,5,17,intern,0,3,7927,2,4,1,0,1,1,2,2023
46,No,Travel_Rarely,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,22822,3,Y,4,2,4,40,0,22,2,2,2,2,2,1,direct_recruiting,1602,2,5341,3,1,1,0,0,0,2,2023
33,No,Travel_Rarely,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,6670,4,Y,17,1,4,40,0,7,3,3,1,1,0,0,agent_B,0,1,7929,2,2,1,0,0,0,1,2023
44,No,Travel_Rarely,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,19121,2,Y,24,1,4,40,0,9,5,4,4,2,1,3,agent_B,0,3,9197,3,2,0,0,0,0,2,2023
30,No,Travel_Rarely,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,16117,1,Y,8,2,1,40,0,10,5,3,10,0,1,8,intern,0,4,9249,2,4,1,1,1,1,2,2023
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,3335,3,Y,24,2,3,40,1,19,6,4,1,0,0,0,agent_C,0,3,9253,2,3,1,0,0,1,1,2023
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,3020,2,Y,35,3,1,40,1,6,2,2,2,0,2,0,intern,0,2,4063,4,1,0,0,0,0,4,2023
